date,price
2022/1/14,8.7158
2022/1/13,8.737
2022/1/12,8.705
2022/1/11,8.6703
2022/1/10,8.6409
2022/1/7,8.6535
2022/1/6,8.6329
2022/1/5,8.6265
2022/1/4,8.6332
2022/1/3,8.5564
2021/12/31,8.6013
2021/12/30,8.6099
2021/12/29,8.5894
2021/12/28,8.5564
2021/12/27,8.5508
2021/12/24,8.5344
2021/12/23,8.5503
2021/12/22,8.4962
2021/12/21,8.4448
2021/12/20,8.4357
2021/12/17,8.4665
2021/12/16,8.4864
2021/12/15,8.4245
2021/12/14,8.4247
2021/12/13,8.4362
2021/12/10,8.4272
2021/12/9,8.4214
2021/12/8,8.3669
2021/12/7,8.4307
2021/12/6,8.4495
2021/12/3,8.4277
2021/12/2,8.4918
2021/12/1,8.4837
2021/11/30,8.5039
2021/11/29,8.5001
2021/11/26,8.5207
2021/11/25,8.5045
2021/11/24,8.5203
2021/11/23,8.5388
2021/11/22,8.5649
2021/11/19,8.592
2021/11/18,8.6071
2021/11/17,8.5904
2021/11/16,8.5857
2021/11/15,8.5741
2021/11/12,8.5548
2021/11/11,8.5604
2021/11/10,8.6236
2021/11/9,8.6509
2021/11/8,8.6765
2021/11/5,8.6298
2021/11/4,8.6261
2021/11/3,8.7517
2021/11/2,8.7196
2021/11/1,8.7546
2021/10/29,8.7675
2021/10/28,8.8252
2021/10/27,8.7773
2021/10/26,8.7978
2021/10/25,8.7957
2021/10/22,8.7881
2021/10/21,8.8274
2021/10/20,8.8358
2021/10/19,8.8035
2021/10/18,8.8183
2021/10/15,8.8556
2021/10/14,8.8074
2021/10/13,8.7692
2021/10/12,8.7736
2021/10/11,8.7915
2021/10/8,8.7893
2021/10/7,8.7862
2021/10/6,8.7486
2021/10/5,8.7955
2021/10/4,8.7725
2021/10/1,8.7311
2021/9/30,8.7053
2021/9/29,8.6996
2021/9/28,8.7507
2021/9/27,8.8528
2021/9/24,8.84
2021/9/23,8.8724
2021/9/22,8.8266
2021/9/21,8.8235
2021/9/20,8.8509
2021/9/17,8.8931
2021/9/16,8.8953
2021/9/15,8.9032
